Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_ITEMS_CHECKSHIRTBRIGHTBLUE,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Светло-синяя клетчатая рубашка,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Bright-Blue Check Shirt,Bright-Blue Check Shirt
STR_ITEMS_CHECKSHIRTBRIGHTBLUE_DESC,"A common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton blend with a bright multitone blue check pattern.","A common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton blend with a bright multitone blue check pattern.","A common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton blend with a bright multitone blue check pattern.","A common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton blend with a bright multitone blue check pattern.","A common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton blend with a bright multitone blue check pattern.","A common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton blend with a bright multitone blue check pattern.","Одежда для верхней части тела на пуговицах, с длинными рукавами. Изготовлена из смеси полиэстера и хлопка, с клетчатым рисунком разных оттенков синего.","A common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton blend with a bright multitone blue check pattern.","A common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton blend with a bright multitone blue check pattern.","A common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton blend with a bright multitone blue check pattern.","A common long sleeved, button up, cloth garment for the upper body made from a polyester and cotton blend with a bright multitone blue check pattern."
STR_ITEMS_PICKAXE,Pickaxe,Pickaxe,Pickaxe,Pickaxe,Pickaxe,Pickaxe,Кирка,Pickaxe,Pickaxe,Pickaxe,Pickaxe
STR_ITEMS_PICKAXE_DESC,"A hand tool with a hard head attached perpendicular to the handle. The head is made of metal, and the handle is wooden. The head is a spike ending in a sharp point, may curve slightly, and has a counter-weight to improve ease of use. The stronger the spike, the more effectively the tool can pierce the surface.","A hand tool with a hard head attached perpendicular to the handle. The head is made of metal, and the handle is wooden. The head is a spike ending in a sharp point, may curve slightly, and has a counter-weight to improve ease of use. The stronger the spike, the more effectively the tool can pierce the surface.","A hand tool with a hard head attached perpendicular to the handle. The head is made of metal, and the handle is wooden. The head is a spike ending in a sharp point, may curve slightly, and has a counter-weight to improve ease of use. The stronger the spike, the more effectively the tool can pierce the surface.","A hand tool with a hard head attached perpendicular to the handle. The head is made of metal, and the handle is wooden. The head is a spike ending in a sharp point, may curve slightly, and has a counter-weight to improve ease of use. The stronger the spike, the more effectively the tool can pierce the surface.","A hand tool with a hard head attached perpendicular to the handle. The head is made of metal, and the handle is wooden. The head is a spike ending in a sharp point, may curve slightly, and has a counter-weight to improve ease of use. The stronger the spike, the more effectively the tool can pierce the surface.","A hand tool with a hard head attached perpendicular to the handle. The head is made of metal, and the handle is wooden. The head is a spike ending in a sharp point, may curve slightly, and has a counter-weight to improve ease of use. The stronger the spike, the more effectively the tool can pierce the surface.","Ручной инструмент с твердым наконечником, прикрепленным перпендикулярно к ручке. Интсрумент выполнен из металла, ручка деревянная. Наконечник заканчивается слегка деформированным острием и имеет противовес, чтобы облегчить использование. Чем острее шип, тем более эффективно инструмент может пробивать поверхность.","A hand tool with a hard head attached perpendicular to the handle. The head is made of metal, and the handle is wooden. The head is a spike ending in a sharp point, may curve slightly, and has a counter-weight to improve ease of use. The stronger the spike, the more effectively the tool can pierce the surface.","A hand tool with a hard head attached perpendicular to the handle. The head is made of metal, and the handle is wooden. The head is a spike ending in a sharp point, may curve slightly, and has a counter-weight to improve ease of use. The stronger the spike, the more effectively the tool can pierce the surface.","A hand tool with a hard head attached perpendicular to the handle. The head is made of metal, and the handle is wooden. The head is a spike ending in a sharp point, may curve slightly, and has a counter-weight to improve ease of use. The stronger the spike, the more effectively the tool can pierce the surface.","A hand tool with a hard head attached perpendicular to the handle. The head is made of metal, and the handle is wooden. The head is a spike ending in a sharp point, may curve slightly, and has a counter-weight to improve ease of use. The stronger the spike, the more effectively the tool can pierce the surface."
STR_ITEMS_MILITARYBOOTS,Military Boots,Military Boots,Military Boots,Military Boots,Military Boots,Military Boots,Военные ботинки,Military Boots,Military Boots,Military Boots,Military Boots
STR_ITEMS_MILITARYBOOTS_DESC,"Designed to be worn by soldiers during combat. They provide a combination of grip, ankle stability, and foot protection suitable to a rugged environment.","Designed to be worn by soldiers during combat. They provide a combination of grip, ankle stability, and foot protection suitable to a rugged environment.","Designed to be worn by soldiers during combat. They provide a combination of grip, ankle stability, and foot protection suitable to a rugged environment.","Designed to be worn by soldiers during combat. They provide a combination of grip, ankle stability, and foot protection suitable to a rugged environment.","Designed to be worn by soldiers during combat. They provide a combination of grip, ankle stability, and foot protection suitable to a rugged environment.","Designed to be worn by soldiers during combat. They provide a combination of grip, ankle stability, and foot protection suitable to a rugged environment.","Разработаны для использования солдатами в боевых условиях. Обеспечивают комбинацию охвата, удержания лодыжки и защиты ног в неблагоприятной среде.","Designed to be worn by soldiers during combat. They provide a combination of grip, ankle stability, and foot protection suitable to a rugged environment.","Designed to be worn by soldiers during combat. They provide a combination of grip, ankle stability, and foot protection suitable to a rugged environment.","Designed to be worn by soldiers during combat. They provide a combination of grip, ankle stability, and foot protection suitable to a rugged environment.","Designed to be worn by soldiers during combat. They provide a combination of grip, ankle stability, and foot protection suitable to a rugged environment."
STR_ITEMS_HOODIE,Hoodie,Hoodie,Hoodie,Hoodie,Hoodie,Hoodie,Толстовка,Hoodie,Hoodie,Hoodie,Hoodie
STR_ITEMS_HOODIE_DESC,"Making use of an adjustable drawstring hood, vertical zipper, and a large pocket located in the front, this hooded sweatshirt provides ideal protection from the elements.","Making use of an adjustable drawstring hood, vertical zipper, and a large pocket located in the front, this hooded sweatshirt provides ideal protection from the elements.","Making use of an adjustable drawstring hood, vertical zipper, and a large pocket located in the front, this hooded sweatshirt provides ideal protection from the elements.","Making use of an adjustable drawstring hood, vertical zipper, and a large pocket located in the front, this hooded sweatshirt provides ideal protection from the elements.","Making use of an adjustable drawstring hood, vertical zipper, and a large pocket located in the front, this hooded sweatshirt provides ideal protection from the elements.","Making use of an adjustable drawstring hood, vertical zipper, and a large pocket located in the front, this hooded sweatshirt provides ideal protection from the elements.","Благодаря стягиваемому шнурком капюшону и вертикальной застежке-молнии, эта толстовка с большим передним карманом обеспечивает идеальную защиту от непогоды.","Making use of an adjustable drawstring hood, vertical zipper, and a large pocket located in the front, this hooded sweatshirt provides ideal protection from the elements.","Making use of an adjustable drawstring hood, vertical zipper, and a large pocket located in the front, this hooded sweatshirt provides ideal protection from the elements.","Making use of an adjustable drawstring hood, vertical zipper, and a large pocket located in the front, this hooded sweatshirt provides ideal protection from the elements.","Making use of an adjustable drawstring hood, vertical zipper, and a large pocket located in the front, this hooded sweatshirt provides ideal protection from the elements."
STR_USERACTIONS_EAT_ZUCCHINIFRESH,Eat fresh zucchini,Eat fresh zucchini,Eat fresh zucchini,Eat fresh zucchini,Eat fresh zucchini,Eat fresh zucchini,Съесть свежий кабачок,Eat fresh zucchini,Eat fresh zucchini,Eat fresh zucchini,Eat fresh zucchini
STR_USERACTIONS_FEED_ZUCCHINIFRESH,Feed fresh zucchini,Feed fresh zucchini,Feed fresh zucchini,Feed fresh zucchini,Feed fresh zucchini,Feed fresh zucchini,Накормить свежим кабачком,Feed fresh zucchini,Feed fresh zucchini,Feed fresh zucchini,Feed fresh zucchini
STR_ITEMS_ZUCCHINIROTTEN,Rotten Zucchini,Rotten Zucchini,Rotten Zucchini,Rotten Zucchini,Rotten Zucchini,Rotten Zucchini,Гнилой кабачок,Rotten Zucchini,Rotten Zucchini,Rotten Zucchini,Rotten Zucchini
STR_USERACTIONS_EAT_ZUCCHINI_ROTTEN,Eat rotten zucchini,Eat rotten zucchini,Eat rotten zucchini,Eat rotten zucchini,Eat rotten zucchini,Eat rotten zucchini,Съесть гнилой кабачок,Eat rotten zucchini,Eat rotten zucchini,Eat rotten zucchini,Eat rotten zucchini
STR_ITEMS_TRACKSUITPANTS,Tracksuit Pants,Tracksuit Pants,Tracksuit Pants,Tracksuit Pants,Tracksuit Pants,Tracksuit Pants,Спортивные штаны,Tracksuit Pants,Tracksuit Pants,Tracksuit Pants,Tracksuit Pants
STR_ITEMS_TRACKSUITPANTS_DESC,"Casual trousers intended for comfort or athletic purposes, although they are now worn in many different situations. Because of their comfort and fashionable varieties, they have become one of the most commonly worn items of clothing.","Casual trousers intended for comfort or athletic purposes, although they are now worn in many different situations. Because of their comfort and fashionable varieties, they have become one of the most commonly worn items of clothing.","Casual trousers intended for comfort or athletic purposes, although they are now worn in many different situations. Because of their comfort and fashionable varieties, they have become one of the most commonly worn items of clothing.","Casual trousers intended for comfort or athletic purposes, although they are now worn in many different situations. Because of their comfort and fashionable varieties, they have become one of the most commonly worn items of clothing.","Casual trousers intended for comfort or athletic purposes, although they are now worn in many different situations. Because of their comfort and fashionable varieties, they have become one of the most commonly worn items of clothing.","Casual trousers intended for comfort or athletic purposes, although they are now worn in many different situations. Because of their comfort and fashionable varieties, they have become one of the most commonly worn items of clothing.",Штаны для удобного повседневного ношения или спортивной деятельности. В наше время их носят в самых различных ситуациях. За свое удобство и разнообразие моделей стали наиболее популярным предметом одежды.,"Casual trousers intended for comfort or athletic purposes, although they are now worn in many different situations. Because of their comfort and fashionable varieties, they have become one of the most commonly worn items of clothing.","Casual trousers intended for comfort or athletic purposes, although they are now worn in many different situations. Because of their comfort and fashionable varieties, they have become one of the most commonly worn items of clothing.","Casual trousers intended for comfort or athletic purposes, although they are now worn in many different situations. Because of their comfort and fashionable varieties, they have become one of the most commonly worn items of clothing.","Casual trousers intended for comfort or athletic purposes, although they are now worn in many different situations. Because of their comfort and fashionable varieties, they have become one of the most commonly worn items of clothing."
STR_ITEMS_ZUCCHINIFRESH,Fresh Zucchini,Fresh Zucchini,Fresh Zucchini,Fresh Zucchini,Fresh Zucchini,Fresh Zucchini,Свежий кабачок,Fresh Zucchini,Fresh Zucchini,Fresh Zucchini,Fresh Zucchini
STR_ITEMS_ZUCCHINIFRESH_DESC,"Zucchini is a summer squash which can reach nearly a meter in length, but which is usually harvested at half that size or less. Zucchini is treated as a vegetable, which means it is usually cooked and presented as a savory dish or accompaniment. Botanically, however, the zucchini is a fruit.","Zucchini is a summer squash which can reach nearly a meter in length, but which is usually harvested at half that size or less. Zucchini is treated as a vegetable, which means it is usually cooked and presented as a savory dish or accompaniment. Botanically, however, the zucchini is a fruit.","Zucchini is a summer squash which can reach nearly a meter in length, but which is usually harvested at half that size or less. Zucchini is treated as a vegetable, which means it is usually cooked and presented as a savory dish or accompaniment. Botanically, however, the zucchini is a fruit.","Zucchini is a summer squash which can reach nearly a meter in length, but which is usually harvested at half that size or less. Zucchini is treated as a vegetable, which means it is usually cooked and presented as a savory dish or accompaniment. Botanically, however, the zucchini is a fruit.","Zucchini is a summer squash which can reach nearly a meter in length, but which is usually harvested at half that size or less. Zucchini is treated as a vegetable, which means it is usually cooked and presented as a savory dish or accompaniment. Botanically, however, the zucchini is a fruit.","Zucchini is a summer squash which can reach nearly a meter in length, but which is usually harvested at half that size or less. Zucchini is treated as a vegetable, which means it is usually cooked and presented as a savory dish or accompaniment. Botanically, however, the zucchini is a fruit.","Цуккини (кабачок) - это летняя тыква, которая может достигать метра в длину, однако собирается при достижении половины этого размера или менее. Цуккини считается овощем, а значит обычно готовится и подается как неосновное блюдо или гарнир. С ботанической точки зрения, тем не менее, цуккини это фрукт.","Zucchini is a summer squash which can reach nearly a meter in length, but which is usually harvested at half that size or less. Zucchini is treated as a vegetable, which means it is usually cooked and presented as a savory dish or accompaniment. Botanically, however, the zucchini is a fruit.","Zucchini is a summer squash which can reach nearly a meter in length, but which is usually harvested at half that size or less. Zucchini is treated as a vegetable, which means it is usually cooked and presented as a savory dish or accompaniment. Botanically, however, the zucchini is a fruit.","Zucchini is a summer squash which can reach nearly a meter in length, but which is usually harvested at half that size or less. Zucchini is treated as a vegetable, which means it is usually cooked and presented as a savory dish or accompaniment. Botanically, however, the zucchini is a fruit.","Zucchini is a summer squash which can reach nearly a meter in length, but which is usually harvested at half that size or less. Zucchini is treated as a vegetable, which means it is usually cooked and presented as a savory dish or accompaniment. Botanically, however, the zucchini is a fruit."
STR_ITEMS_SPITE_LEMON_DESC,"A comparatively unhealthy, lemon lime flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, lemon lime flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, lemon lime flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, lemon lime flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, lemon lime flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, lemon lime flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","Не очень полезный для здоровья напиток: газировка со вкусом лимона и лайма, содержащая подсластители, ароматизаторы, красители и консерванты.","A comparatively unhealthy, lemon lime flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, lemon lime flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, lemon lime flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, lemon lime flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives."
STR_ITEMS_SPITE_LEMON,Spite Lemon Lime,Spite Lemon Lime,Spite Lemon Lime,Spite Lemon Lime,Spite Lemon Lime,Spite Lemon Lime,"Spite" Лимон и лайм,Spite Lemon Lime,Spite Lemon Lime,Spite Lemon Lime,Spite Lemon Lime
STR_ITEMS_RASKVASS_DESC,"A fermented beverage made from bread, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A fermented beverage made from bread, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A fermented beverage made from bread, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A fermented beverage made from bread, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A fermented beverage made from bread, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A fermented beverage made from bread, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","Ферментированный напиток из хлеба. Альтернатива газированной воде с подсластителями, ароматизаторами, красителями и консервантами.","A fermented beverage made from bread, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A fermented beverage made from bread, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A fermented beverage made from bread, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A fermented beverage made from bread, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives."
STR_ITEMS_RASKVASS,Rasputin Kvass,Rasputin Kvass,Rasputin Kvass,Rasputin Kvass,Rasputin Kvass,Rasputin Kvass,Квас "Rasputin",Rasputin Kvass,Rasputin Kvass,Rasputin Kvass,Rasputin Kvass
STR_ITEMS_PIPSI_DESC,"A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","Не очень полезный для здоровья напиток: газировка со вкусом колы, содержащая подсластители, ароматизаторы, красители и консерванты.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives."
STR_ITEMS_PIPSI,Pipsi,Pipsi,Pipsi,Pipsi,Pipsi,Pipsi,Pipsi,Pipsi,Pipsi,Pipsi,
STR_ITEMS_NOTACOLA_DESC,"A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","Не очень полезный для здоровья напиток: газировка со вкусом колы, содержащая подсластители, ароматизаторы, красители и консерванты.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives.","A comparatively unhealthy, cola flavoured, alternative to water containing carbonated water, sweeteners, flavouring agents, colouring agents and preservatives."
STR_ITEMS_NOTACOLA,NotaCola Classic,NotaCola Classic,NotaCola Classic,NotaCola Classic,NotaCola Classic,NotaCola Classic,Классическая "NotaCola",NotaCola Classic,NotaCola Classic,NotaCola Classic,NotaCola Classic
STR_ITEMS_CR75MAGAZINE_DESC,A magazine for 15 9mm rounds.,A magazine for 15 9mm rounds.,A magazine for 15 9mm rounds.,A magazine for 15 9mm rounds.,A magazine for 15 9mm rounds.,A magazine for 15 9mm rounds.,Магазин на 15 патронов калибра 9 мм.,A magazine for 15 9mm rounds.,A magazine for 15 9mm rounds.,A magazine for 15 9mm rounds.,A magazine for 15 9mm rounds.
STR_ITEMS_CR75MAGAZINE,15Rnd CR75 Magazine,15Rnd CR75 Magazine,15Rnd CR75 Magazine,15Rnd CR75 Magazine,15Rnd CR75 Magazine,15Rnd CR75 Magazine,Магазин для CR75,15Rnd CR75 Magazine,15Rnd CR75 Magazine,15Rnd CR75 Magazine,15Rnd CR75 Magazine
STR_ITEMS_762X39MM20RNDS_DESC,A box with 20 rounds in it.,A box with 20 rounds in it.,A box with 20 rounds in it.,A box with 20 rounds in it.,A box with 20 rounds in it.,A box with 20 rounds in it.,Коробка с 20 патронами.,A box with 20 rounds in it.,A box with 20 rounds in it.,A box with 20 rounds in it.,A box with 20 rounds in it.
STR_ITEMS_762X39MM20RNDS,7.62x39mm 20 Rounds,7.62x39mm 20 Rounds,7.62x39mm 20 Rounds,7.62x39mm 20 Rounds,7.62x39mm 20 Rounds,7.62x39mm 20 Rounds,20 патронов калибра 7.62x39mm,7.62x39mm 20 Rounds,7.62x39mm 20 Rounds,7.62x39mm 20 Rounds,7.62x39mm 20 Rounds
